date,open,high,low,close,volume,Adjclose,j-index
12/12/16,766.4,766.89,757.2,760.12,2958869,760.12,1
12/9/16,770,770.25,765.34,768.66,2464356,768.66,1
12/8/16,771.87,773.79,765.19,767.33,3187047,767.33,1
12/7/16,764.55,770.42,755.82,770.42,3679153,770.42,-1
12/6/16,763.99,768.24,757.25,764.72,3792379,764.72,-1
12/5/16,745,761.49,742,759.36,4304728,759.36,1
12/2/16,743.4,748.4903,736.7,740.34,3556552,740.34,1
12/1/16,752.41,753.37,738.03,743.65,4650761,743.65,-1
11/30/16,762,768.09,750.25,750.57,4607152,750.57,-1
11/29/16,768,769.89,761.32,762.52,3267884,762.52,1
11/28/16,776.99,777,764.24,766.77,4383855,766.77,0
11/25/16,786.5,786.75,777.9,780.37,1837068,780.37,1
11/23/16,781.73,781.75,773.12,780.12,3533297,780.12,1
11/22/16,788.17,792.4,781,785.33,5306588,785.33,1
11/21/16,766,780.35,765.11,780,4600908,780,1
11/18/16,761,767.74,757.6435,760.16,4365888,760.16,1
11/17/16,749.32,757.5,748,756.4,3662939,756.4,-1
11/16/16,739.88,749.87,735.61,746.49,3604217,746.49,1
11/15/16,730,746.78,725.99,743.24,6749867,743.24,1
11/14/16,745.51,746,710.1,719.07,7300631,719.07,1
11/11/16,735.73,743.26,728.9,739.01,6610022,739.01,-1
11/10/16,778.81,778.83,717.7,742.38,12733320,742.38,-1
11/9/16,764,777.5,760.09,771.88,8555177,771.88,1
11/8/16,784.97,791.7399,779.1,787.75,3382350,787.75,-1
11/7/16,771.64,787.732,770.94,784.93,5977338,784.93,0
11/4/16,762.79,766,753.2301,755.05,5115398,755.05,-1
11/3/16,765.05,777,764,767.03,3867205,767.03,1
11/2/16,783.93,784.75,763.55,765.56,4981311,765.56,-1
11/1/16,799,800.84,776.713,785.41,5300121,785.41,1
10/31/16,781.03,793.7,780.11,789.82,5408996,789.82,-1
10/28/16,782,789.49,774.61,776.32,10832630,776.32,1
10/27/16,831.24,831.72,815.43,818.36,7156567,818.36,1
10/26/16,832.76,833.44,820,822.59,3985249,822.59,1
10/25/16,839.3,843.09,833.22,835.18,3239776,835.18,-1
10/24/16,824.95,838.3,822.21,838.09,4052218,838.09,1
10/21/16,809.36,819.42,809,818.99,2790354,818.99,1
10/20/16,813.99,815.71,803.1,810.32,3148334,810.32,1
10/19/16,820.4,820.67,815.17,817.69,2086337,817.69,1
10/18/16,822.11,823.26,815.02,817.65,2507218,817.65,1
10/17/16,821.5,822,811.68,812.95,3355137,812.95,-1
10/14/16,835.08,835.74,822.96,822.96,2994703,822.96,-1
10/13/16,829,831.8,821.21,829.28,3088844,829.28,1
10/12/16,834,837.666,830.1,834.09,2373674,834.09,0
10/11/16,841.02,841.29,828.35,831,3584648,831,-1
10/10/16,843.25,845.2,840.27,841.71,1819724,841.71,-1
10/7/16,845.79,845.95,837.45,839.43,2423112,839.43,1
10/6/16,843.7,847.21,840.6,841.66,2681335,841.66,1
10/5/16,838,845.67,836.12,844.36,3456636,844.36,1
10/4/16,840.91,842.365,830.26,834.03,2948840,834.03,-1
10/3/16,836,839.86,831.25,836.74,2764010,836.74,1
9/30/16,832.61,839.95,832.4,837.31,4425478,837.31,-1
9/29/16,828.26,837.5,824.63,829.05,4918973,829.05,1
9/28/16,818,830.14,817.0337,828.72,4418171,828.72,-1
9/27/16,801.85,816.64,801.11,816.11,3812930,816.11,-1
9/26/16,801.8,805.93,797.145,799.16,2649176,799.16,0
9/23/16,803.13,807.75,802.12,805.75,2350777,805.75,1
9/22/16,794.27,805.889,794.27,804.7,4073362,804.7,-1
9/21/16,783.25,790.69,779.01,789.74,2712733,789.74,0
9/20/16,776,781.37,776,780.22,1932706,780.22,1
9/19/16,779.97,781.94,771,775.1,2293948,775.1,-1
9/16/16,773.28,780.46,771.66,778.52,5495339,778.52,-1
9/15/16,762,770.87,757.58,769.69,3036442,769.69,1
9/14/16,762.2,767.5,758.85,761.09,2529304,761.09,-1
9/13/16,768.77,769.89,759.05,761.01,3115662,761.01,1
9/12/16,757.35,772.66,756,771.49,3118879,771.49,-1
9/9/16,779.36,781,760.11,760.14,4246938,760.14,-1
9/8/16,783.89,786.5,781.44,784.06,2027915,784.06,1
9/7/16,789.53,790.79,784.33,784.48,2422453,784.48,-1
9/6/16,774.04,789.48,770.22,788.87,3716541,788.87,1
9/2/16,774.11,776,771.7,772.44,2168238,772.44,1
9/1/16,770.9,772.04,766.75,770.62,1790751,770.62,-1
8/31/16,766.6,769.64,764,769.16,1630792,769.16,1
