date,open,high,low,close,volume,Adjclose,j-index
12/9/16,112.31,114.7,112.31,113.95,34324350,113.95,1
12/8/16,110.86,112.43,110.6,112.12,27049830,112.12,1
12/7/16,109.26,111.19,109.16,111.03,29976030,111.03,1
12/6/16,109.5,110.36,109.19,109.95,26160560,109.95,1
12/5/16,110,110.03,108.25,109.11,34113880,109.11,-1
12/2/16,109.17,110.09,108.85,109.9,26481320,109.9,-1
12/1/16,110.365,110.94,109.03,109.49,37034520,109.49,1
11/30/16,111.6,112.2,110.27,110.52,36151450,110.52,1
11/29/16,110.78,112.03,110.07,111.46,28507780,111.46,-1
11/28/16,111.43,112.465,111.39,111.57,27054320,111.57,-1
11/25/16,111.13,111.87,110.95,111.79,11475920,111.79,1
11/23/16,111.36,111.51,110.33,111.23,27420550,111.23,0
11/22/16,111.95,112.42,111.4,111.8,25931710,111.8,1
11/21/16,110.12,111.99,110.01,111.73,29164190,111.73,1
11/18/16,109.72,110.54,109.66,110.06,28310840,110.06,1
11/17/16,109.81,110.35,108.83,109.95,27623150,109.95,1
11/16/16,106.7,110.23,106.6,109.99,58724080,109.99,1
11/15/16,106.57,107.68,106.1593,107.11,32230590,107.11,-1
11/14/16,107.71,107.809,104.08,105.71,50901380,105.71,1
11/11/16,107.12,108.87,106.55,108.43,34117030,108.43,1
11/10/16,111.09,111.09,105.83,107.79,57097740,107.79,1
11/9/16,109.88,111.32,108.05,110.88,59118740,110.88,-1
11/8/16,110.31,111.72,109.7,111.06,24129630,111.06,-1
11/7/16,110.08,110.51,109.46,110.41,32361930,110.41,1
11/4/16,108.53,110.25,108.11,108.84,30790930,108.84,-1
11/3/16,110.98,111.46,109.55,109.83,26538700,109.83,0
11/2/16,111.4,112.35,111.23,111.59,28174980,111.59,-1
11/1/16,113.46,113.77,110.53,111.49,43403760,111.49,1
10/31/16,113.65,114.23,113.2,113.54,26378910,113.54,-1
10/28/16,113.87,115.21,113.45,113.72,36792100,113.72,1
10/27/16,115.39,115.86,114.1,114.48,31396130,114.48,-1
10/26/16,114.31,115.7,113.31,115.59,66028640,115.59,1
10/25/16,117.95,118.36,117.31,118.25,46820600,118.25,1
10/24/16,117.1,117.74,117,117.65,23492650,117.65,1
10/21/16,116.81,116.91,116.28,116.6,22527690,116.6,-1
10/20/16,116.86,117.38,116.33,117.06,24100150,117.06,1
10/19/16,117.25,117.76,113.8,117.12,19977160,117.12,1
10/18/16,118.18,118.21,117.45,117.47,24308210,117.47,1
10/17/16,117.33,117.84,116.78,117.55,23583810,117.55,1
10/14/16,117.88,118.17,117.13,117.63,35626020,117.63,1
10/13/16,116.79,117.44,115.72,116.98,35041820,116.98,-1
10/12/16,117.35,117.98,116.75,117.34,37512930,117.34,-1
10/11/16,117.7,118.69,116.2,116.3,63963010,116.3,1
10/10/16,115.02,116.75,114.72,116.05,36087910,116.05,0
10/7/16,114.31,114.56,113.51,114.06,24336440,114.06,-1
10/6/16,113.7,114.34,113.13,113.89,28508710,113.89,-1
