date,open,high,low,close,volume,Adjclose,j-index
16:00,119.2,119.24,117.65,117.77,"17,791,506",117.77,1
12/12/16,119.22,119.24,117.65,117.77,17782470,117.77,1
12/9/16,119.22,119.94,118.95,119.68,17452710,119.68,1
12/8/16,117.98,119.5,117.64,118.91,22427310,118.91,1
12/7/16,117,117.95,116.57,117.95,21891800,117.95,-1
12/6/16,117.69,117.795,116.33,117.31,19089060,117.31,-1
12/5/16,115.95,117.57,115.07,117.43,20123920,117.43,1
12/2/16,115.11,116.48,114.3,115.4,25050450,115.4,1
12/1/16,118.38,118.45,114,115.1,43231480,115.1,-1
11/30/16,120.32,121.79,117.95,118.42,30135230,118.42,-1
11/29/16,120.57,122.1,120.4,120.87,18871130,120.87,1
11/28/16,120.12,121.69,119.82,120.41,18081770,120.41,0
11/25/16,121.01,121.14,120.07,120.38,8658605,120.38,1
11/23/16,121.23,121.31,119.94,120.84,15646580,120.84,1
11/22/16,122.4,122.98,120.9,121.47,26006340,121.47,1
11/21/16,118.2,121.95,117.8,121.77,35359460,121.77,1
11/18/16,118.39,119.13,116.84,117.02,22768330,117.02,1
11/17/16,116.81,117.79,116.01,117.79,18570820,117.79,-1
11/16/16,114.48,117.88,114.21,116.34,32358800,116.34,1
11/15/16,116.73,118.49,115.83,117.2,34629110,117.2,1
11/14/16,119.1256,119.1256,113.5535,115.08,51315610,115.08,1
11/11/16,119.53,120.7,118.15,119.02,32814370,119.02,-1
11/10/16,123.93,124.18,115.27,120.8,67808300,120.8,-1
11/9/16,121.5,123.81,120.51,123.18,31883790,123.18,1
11/8/16,122.03,124.61,121.54,124.22,19391790,124.22,-1
11/7/16,122.83,123.2089,121.35,122.15,22957100,122.15,0
11/4/16,119.59,121.93,119.25,120.75,30468330,120.75,-1
11/3/16,122,123.28,119.5,120,63660540,120,1
11/2/16,130.23,130.23,126.28,127.17,43895660,127.17,-1
11/1/16,131.41,131.94,128.65,129.5,21974210,129.5,1
10/31/16,132.01,132.12,130.8835,130.99,15649280,130.99,-1
10/28/16,130.5,132.97,129.93,131.29,24500920,131.29,1
10/27/16,131.74,131.8,129.27,129.69,16628680,129.69,1
10/26/16,131.64,132.26,130.935,131.04,13066210,131.04,1
10/25/16,133.5,133.5,132.22,132.29,13307700,132.29,-1
10/24/16,132.72,133.405,132.15,133.28,17420290,133.28,1
10/21/16,129.78,132.13,129.7,132.07,18983740,132.07,1
10/20/16,130.07,130.66,129.5,130,13148980,130,1
10/19/16,128.74,130.47,128.6,130.11,16723000,130.11,1
10/18/16,128.68,129.39,128.01,128.57,13487280,128.57,1
10/17/16,128.2,128.47,127.32,127.54,11317650,127.54,-1
10/14/16,128.49,128.95,127.58,127.88,13335970,127.88,-1
10/13/16,128.21,128.25,126.75,127.82,17106910,127.82,1
10/12/16,129.01,129.66,128.46,129.05,11043240,129.05,0
10/11/16,130.23,130.64,128.23,128.88,17508530,128.88,-1
10/10/16,129.68,130.7,129.2,130.24,15113560,130.24,-1
10/7/16,129.04,129.25,128.33,128.99,12800360,128.99,1
10/6/16,128.43,129.06,128.08,128.74,11673340,128.74,1
10/5/16,128.25,128.8,127.83,128.47,12354920,128.47,1
10/4/16,129.17,129.2765,127.5499,128.19,14294610,128.19,-1
10/3/16,128.38,129.09,127.8,128.77,13134510,128.77,1
9/30/16,128.03,128.59,127.45,128.27,18392040,128.27,-1
9/29/16,129.18,129.29,127.55,128.09,14489880,128.09,1
9/28/16,129.21,129.47,128.4,129.23,12035720,129.23,-1
9/27/16,127.61,129.01,127.43,128.69,15600130,128.69,-1
9/26/16,127.37,128.16,126.8,127.31,15041370,127.31,0
9/23/16,127.56,128.6,127.3,127.96,28293920,127.96,1
9/22/16,130.5,130.73,129.56,130.08,15358850,130.08,-1
9/21/16,129.13,130.005,128.39,129.94,14045780,129.94,0
9/20/16,128.65,129.17,128.0307,128.64,11076150,128.64,1
9/19/16,129.91,129.94,128.26,128.65,14927990,128.65,-1
9/16/16,128.2,129.18,128.2,129.07,24083560,129.07,-1
9/15/16,127.98,129.1,127.67,128.35,15084660,128.35,1
9/14/16,126.89,128.8,126.89,127.77,15712050,127.77,-1
9/13/16,128.03,128.35,126.66,127.21,17987510,127.21,1
9/12/16,125.96,128.76,125.75,128.69,21159830,128.69,-1
9/9/16,129.71,129.949,127.1,127.1,26963940,127.1,-1
9/8/16,130.92,131.08,129.81,130.27,15655250,130.27,1
9/7/16,130.04,131.98,129.95,131.05,27942000,131.05,-1
9/6/16,126.67,129.94,126.47,129.73,26241480,129.73,1
9/2/16,126.85,126.86,126,126.51,12074470,126.51,1
9/1/16,126.38,126.63,125.6,126.17,13522260,126.17,-1
8/31/16,125.6,126.22,125.1,126.12,14183190,126.12,1
8/30/16,126.6,126.6,125.15,125.84,17778300,125.84,-1
8/29/16,124.35,126.73,124.35,126.54,15901270,126.54,-1
8/26/16,124.05,125.19,123.91,124.96,17467840,124.96,1
8/25/16,123.12,124.37,123.1,123.89,10720680,123.89,-1
8/24/16,124.47,124.69,123.09,123.48,12226720,123.48,1
8/23/16,124.51,125.09,124.25,124.37,13302050,124.37,1
8/22/16,123.33,124.83,123.11,124.15,14377070,124.15,-1
8/19/16,123.6,124.157,123.28,123.56,11582430,123.56,1
8/18/16,124.01,124.26,123.64,123.91,12378280,123.91,-1
8/17/16,123.66,124.38,122.85,124.37,13759700,124.37,-1
8/16/16,123.5,123.92,122.78,123.3,14209580,123.3,1
8/15/16,124.91,124.92,123.7,123.9,19280400,123.9,0
8/12/16,124.7,125,124.18,124.88,12146150,124.88,-1
8/11/16,125.2,125.38,124.75,124.9,11708610,124.9,1
8/10/16,125.07,125.48,124.54,124.88,10645370,124.88,1
8/9/16,125.34,126.09,124.53,125.06,19587330,125.06,-1
8/8/16,125.25,125.45,124.55,125.26,15216950,125.26,1
8/5/16,124.98,125.835,124.6184,125.15,20144810,125.15,-1
8/4/16,122.94,124.79,122.51,124.36,21052200,124.36,-1
8/3/16,123.09,123.92,122.31,122.51,18479970,122.51,1
8/2/16,124.06,124.8,122.07,123.09,23919790,123.09,1
8/1/16,123.85,124.58,122.86,124.31,24986020,124.31,-1
7/29/16,124.65,125.84,123.71,123.94,34943890,123.94,1
7/28/16,127.52,128.33,123.63,125,78673980,125,-1
7/27/16,122.42,125,121.51,123.34,50218420,123.34,-1
7/26/16,122,122.07,120.75,121.22,17417060,121.22,-1
7/25/16,121.39,121.85,117.78,121.63,18453230,121.63,1
7/22/16,119.9,121.01,119.31,121,18363590,121,-1
7/21/16,121.92,122.1,120.25,120.61,17787630,120.61,1
7/20/16,121.25,122.2,120.56,121.92,19991920,121.92,0
7/19/16,118.99,120.85,118.66,120.61,21502910,120.61,1
7/18/16,117.32,119.61,116.89,119.37,20816900,119.37,1
7/15/16,117.74,118.28,116.58,116.86,16601530,116.86,1
7/14/16,117.5,117.64,116.7,117.29,14554060,117.29,1
7/13/16,118.39,118.4,116.68,116.78,16180680,116.78,1
7/12/16,118.63,118.72,117.57,117.93,15084590,117.93,-1
7/11/16,117.71,118.7,117.5,117.87,17613670,117.87,-1
7/8/16,116.43,117.5,115.85,117.24,18117330,117.24,-1
7/7/16,116.63,116.97,115.36,115.85,16612350,115.85,-1
7/6/16,113.36,116.79,112.97,116.7,24318520,116.7,1
7/5/16,113.94,114.11,112.97,114,14206220,114,1
7/1/16,114.2,115.13,113.81,114.19,14955080,114.19,1
6/30/16,114.67,115.18,113.67,114.28,23159510,114.28,1
6/29/16,113.37,114.25,113.04,114.16,20935530,114.16,1
6/28/16,110.63,112.75,110.55,112.7,26772900,112.7,-1
6/27/16,111.57,111.57,108.23,108.97,36172810,108.97,1
6/24/16,111.01,113.68,111,112.08,40555840,112.08,-1
6/23/16,114.37,115.09,113.54,115.08,16096460,115.08,1
6/22/16,114.65,114.74,113.61,113.91,14811570,113.91,1
6/21/16,114.12,115.2142,113.97,114.38,18997270,114.38,1
6/20/16,113.77,114.72,112.75,113.37,20746500,113.37,-1
6/17/16,114.42,114.43,112.56,113.02,24410770,113.02,1
6/16/16,113.87,114.5,112.94,114.39,19207560,114.39,-1
6/15/16,115.3,115.44,114.07,114.6,19789270,114.6,-1
6/14/16,114.07,114.95,113.58,114.94,17573960,114.94,-1
6/13/16,115,115.48,113.31,113.95,31675970,113.95,-1
6/10/16,117.54,118.11,116.26,116.62,18474380,116.62,1
6/9/16,118.13,118.68,117.71,118.56,13842230,118.56,1
6/8/16,117.76,118.6,117.27,118.39,14493990,118.39,-1
6/7/16,119.24,119.3,117.67,117.76,17069990,117.76,1
6/6/16,118.62,119.43,118.36,118.79,12721610,118.79,-1
6/3/16,118.975,118.98,117.86,118.47,14115480,118.47,-1
6/2/16,118.69,119.44,118.22,118.93,13216260,118.93,1
6/1/16,118.5,119.08,117.82,118.78,15003570,118.78,1
5/31/16,119.46,120.1,118.121,118.81,23526050,118.81,1
5/27/16,119.56,119.85,119.01,119.38,13476050,119.38,1
5/26/16,118.24,119.7601,117.92,119.47,18437640,119.47,-1
5/25/16,118.13,118.665,117.38,117.89,20026150,117.89,-1
5/24/16,116.24,117.73,116.12,117.7,20156400,117.7,1
5/23/16,117.42,117.6,115.94,115.97,20409860,115.97,1
5/20/16,116.96,117.99,116.95,117.35,18893950,117.35,-1
5/19/16,117.05,117.49,115.88,116.81,20510770,116.81,1
5/18/16,116.8,118.27,116.73,117.65,21596120,117.65,1
5/17/16,118.82,119.01,117.2,117.35,21296660,117.35,-1
5/16/16,119.38,119.61,117.35,118.67,31188070,118.67,1
5/13/16,120.38,120.64,119.68,119.81,18077540,119.81,1
5/12/16,119.98,120.84,118.9,120.28,21649010,120.28,1
5/11/16,120.41,121.08,119.42,119.52,21976560,119.52,1
5/10/16,119.62,120.5,119,120.5,23127390,120.5,1
5/9/16,119.54,120.28,118.9,119.24,21097310,119.24,-1
5/6/16,117.16,119.637,117.1127,119.49,26362480,119.49,0
5/5/16,118.04,118.98,117.25,117.81,22032830,117.81,0
5/4/16,116.61,118.3,116.57,118.06,23414270,118.06,-1
5/3/16,117.52,118.16,117.02,117.43,24087870,117.43,0
5/2/16,117.83,118.73,116.57,118.57,27789510,118.57,-1
4/29/16,116.82,117.84,115.84,117.58,37106010,117.58,-1
4/28/16,119.575,120.79,116.23,116.73,86913390,116.73,-1
4/27/16,107.94,108.94,106.31,108.89,50504560,108.89,-1
4/26/16,110.49,110.5,108.15,108.76,22393840,108.76,1
4/25/16,109.87,110.67,109.07,110.1,20997040,110.1,1
4/22/16,111.21,111.75,109.01,110.56,38397070,110.56,1
4/21/16,112.55,114.04,112.31,113.44,20711310,113.44,1
4/20/16,112.43,113.27,111.56,112.42,21020820,112.42,-1
4/19/16,111.1,112.45,109.16,112.29,30177490,112.29,-1
4/18/16,109.74,110.81,109.2,110.45,21127750,110.45,1
4/15/16,110.79,110.97,109.2,109.64,20793730,109.64,1
4/14/16,110.62,112.04,110.26,110.84,28439970,110.84,1
4/13/16,112.23,112.65,106.52,110.51,88165850,110.51,-1
4/12/16,109.34,111.1645,108.99,110.61,26190250,110.61,1
4/11/16,110.7,110.91,108.77,108.99,39707140,108.99,1
4/8/16,114.25,114.33,109.9,110.63,48467350,110.63,-1
4/7/16,113.79,114.89,113.0663,113.64,20683460,113.64,-1
4/6/16,112.47,113.81,112.42,113.71,20794390,113.71,-1
4/5/16,112.11,113.32,111.9,112.22,22779490,112.22,-1
4/4/16,114.07,114.55,111.61,112.55,48418260,112.55,-1
4/1/16,113.75,116.17,113.35,116.06,24751160,116.06,-1
3/31/16,114.7,115.01,113.7682,114.1,21171030,114.1,-1
3/30/16,116.73,116.99,114.355,114.7,33196410,114.7,1
3/29/16,113.83,116.32,113.64,116.14,29789720,116.14,-1
3/28/16,113.32,114.5889,112.95,113.69,21332720,113.69,-1
3/24/16,112.13,113.09,111.68,113.05,17157540,113.05,1
3/23/16,112.01,113.19,112,112.54,18546450,112.54,0
3/22/16,111.36,112.88,111.17,112.25,18989920,112.25,-1
3/21/16,111.66,112.37,111.03,111.85,18430870,111.85,-1
3/18/16,111.56,112.42,110.27,111.45,36265530,111.45,-1
3/17/16,112.15,112.69,110.73,111.02,24215410,111.02,-1
3/16/16,110.49,112.5,110.1,112.18,24696190,112.18,1
3/15/16,109.11,110.83,108.84,110.67,17596280,110.67,1
3/14/16,109.28,110.33,108.77,109.89,17240940,109.89,1
3/11/16,108.48,109.42,107.92,109.41,20667610,109.41,-1
3/10/16,107.91,108.66,105.7699,107.32,24835810,107.32,-1
3/9/16,106.7,107.51,105.49,107.51,20458320,107.51,-1
3/8/16,104.78,107.37,104.4,105.93,25582660,105.93,1
3/7/16,108.07,108.07,104.72,105.73,31487180,105.73,1
3/4/16,110.05,110.05,107.93,108.39,24908230,108.39,1
3/3/16,110.25,110.3,108.54,109.58,21337720,109.58,1
3/2/16,109.68,110.55,108.77,109.95,25656490,109.95,-1
3/1/16,107.83,109.82,107.6,109.82,26743550,109.82,1
2/29/16,107.6,108.9101,106.75,106.92,32739960,106.92,1
2/26/16,108.7,109.45,107.16,107.92,26658020,107.92,-1
2/25/16,107.11,108.07,105.61,108.07,29862100,108.07,-1
2/24/16,104.21,106.95,102.74,106.88,34313290,106.88,1
2/23/16,106.85,107.47,105.12,105.46,25279170,105.46,-1
2/22/16,105.49,108.25,105.34,107.16,35675920,107.16,1
2/19/16,102.55,105.02,102.06,104.57,32385500,104.57,-1
2/18/16,105.8,106,103.03,103.47,29543040,103.47,1
2/17/16,101.94,105.72,100.4,105.2,44009090,105.2,-1
2/16/16,103.8,103.93,100.24,101.61,45604490,101.61,0
2/12/16,103.74,104.24,101.09,102.01,36158700,102.01,-1
2/11/16,99.6,105.11,98.88,101.91,43598890,101.91,-1
2/10/16,101.55,103.25,100.24,101,45044840,101,1
2/9/16,97.14,102.4,96.82,99.54,62616740,99.54,-1
2/8/16,100.41,102.68,97.46,99.75,71119290,99.75,-1
2/5/16,109.51,109.58,103.18,104.07,76801180,104.07,-1
2/4/16,111.8,111.94,109.25,110.49,38784240,110.49,-1
2/3/16,115.27,115.3407,109.75,112.69,56867520,112.69,1
2/2/16,114.8,117.59,113.2,114.61,59704890,114.61,1
2/1/16,112.27,115.72,112.01,115.09,46025570,115.09,-1
1/29/16,108.99,112.84,108.84,112.21,62660640,112.21,1
1/28/16,107.2,110.34,104.81,109.11,107251300,109.11,-1
1/27/16,97.79,97.85,94.23,94.45,53505580,94.45,1
1/26/16,97.76,97.88,95.66,97.34,26749760,97.34,1
1/25/16,98.72,99.48,96.93,97.01,32382100,97.01,-1
1/22/16,96.41,98.07,95.49,97.94,30371970,97.94,-1
1/21/16,94.91,95.99,92.62,94.16,30479780,94.16,-1
1/20/16,92.83,95,89.37,94.35,59015930,94.35,-1
1/19/16,96.53,97.42,93.92,95.26,30840640,95.26,-1
1/15/16,93.98,96.38,93.54,94.97,46068460,94.97,1
1/14/16,95.85,98.87,92.45,98.37,48617610,98.37,-1
1/13/16,100.58,100.58,95.21,95.44,33297700,95.44,0
1/12/16,99,99.96,97.55,99.37,28301680,99.37,-1
1/11/16,97.91,98.6,95.39,97.51,29896390,97.51,-1
1/8/16,99.88,100.5,97.0311,97.33,35351010,97.33,-1
1/7/16,100.5,101.43,97.3,97.92,45038210,97.92,-1
1/6/16,101.13,103.77,100.9,102.97,25046390,102.97,-1
1/5/16,102.89,103.7099,101.665,102.73,23238890,102.73,0
1/4/16,101.95,102.24,99.75,102.22,37846820,102.22,1
12/31/15,106,106.17,104.62,104.66,18382210,104.66,1
12/30/15,107,107.25,106.06,106.22,13103910,106.22,1
12/29/15,106.42,107.74,106.25,107.26,17149240,107.26,-1
12/28/15,105.02,105.98,104.53,105.93,13045160,105.93,0
12/24/15,104.74,105.32,104.5,105.02,6512134,105.02,-1
12/23/15,105.89,106.11,103.86,104.63,19571550,104.63,-1
12/22/15,105.22,105.6601,104.81,105.51,14584780,105.51,-1
12/21/15,104.91,105.15,103.6,104.77,16105710,104.77,1
12/18/15,106.08,106.59,103.97,104.04,35810840,104.04,1
12/17/15,107.49,107.75,106.13,106.22,21580540,106.22,-1
12/16/15,105.37,107.09,104.19,106.79,22095830,106.79,-1
12/15/15,105.3,105.8,104.28,104.55,21697070,104.55,1
12/14/15,102.285,104.74,101.46,104.66,24693110,104.66,-1
12/11/15,104.15,104.34,101.91,102.12,26357790,102.12,-1
12/10/15,105.05,106.4,104.41,105.42,17435630,105.42,-1
12/9/15,106.18,106.44,103.55,104.6,23468200,104.6,1
12/8/15,104,106.91,103.95,106.49,20376290,106.49,-1
12/7/15,106.48,106.83,104.66,105.61,15447530,105.61,1
12/4/15,104.81,107.73,104.11,106.18,21212310,106.18,-1
12/3/15,106.27,106.85,103.35,104.38,23193110,104.38,1
12/2/15,107,107.92,105.79,106.07,24334420,106.07,-1
12/1/15,104.83,107.15,104.5,107.12,22743200,107.12,1
11/30/15,105.84,106.0999,103.75,104.24,20055950,104.24,-1
11/27/15,105.78,105.96,104.86,105.45,5913066,105.45,1
11/25/15,106.33,106.6,105.1,105.41,15140370,105.41,0
11/24/15,106,106.49,104.39,105.74,23512790,105.74,1
11/23/15,107.19,107.468,106.08,106.95,19740130,106.95,1
11/20/15,106.84,107.87,106.62,107.32,22102030,107.32,1
11/19/15,107.36,107.73,105.95,106.26,25492640,106.26,1
11/18/15,105.8,107.88,105.39,107.77,23797450,107.77,-1
11/17/15,104.62,106.2,104.14,105.13,26774350,105.13,-1
11/16/15,103.32,104.17,100.47,104.04,49256510,104.04,1
11/13/15,107.71,108.25,103.83,103.95,30161510,103.95,1
11/12/15,108.48,109.39,108,108.02,20852000,108.02,1
