date,open,high,low,close,volume,Adjclose,jpn
12/9/16,799.3,809.95,798.05,809.45,1900034,809.45,1
12/8/16,792.95,799,787.905,795.17,1611923,795.17,1
12/7/16,779.95,792,773.53,791.47,2026403,791.47,1
12/6/16,780.19,785.28,773.32,776.18,1733244,776.18,1
12/5/16,770,780,766.9686,778.22,1685519,778.22,-1
12/2/16,761.9,770.5,759,764.46,1696488,764.46,-1
12/1/16,778.55,778.6,753.36,764.33,2863993,764.33,1
11/30/16,789.1,791.51,773.145,775.88,2272782,775.88,1
11/29/16,788.38,796.44,785.34,789.44,1560963,789.44,-1
11/28/16,778.35,799.74,778.1,785.79,2569319,785.79,-1
11/25/16,782.61,782.9,778.19,780.23,613549,780.23,1
11/23/16,789.52,789.52,772.65,779,1311228,779,0
11/22/16,788.99,793.77,783.74,785,1391312,785,1
11/21/16,778.1,786.55,776.3,784.8,1628530,784.8,1
11/18/16,787.17,791.29,775.35,775.97,1800135,775.97,1
11/17/16,782.5,788.9,779.85,786.16,1531650,786.16,1
11/16/16,770.42,783.5,766.33,779.98,1796559,779.98,1
11/15/16,765.47,780.2376,765.22,775.16,2940057,775.16,-1
11/14/16,771.76,771.78,743.59,753.22,3681471,753.22,1
11/11/16,776.81,777.29,765.54,771.75,3587879,771.75,1
11/10/16,810,810.06,768.23,780.29,5902116,780.29,1
11/9/16,801.83,811.71,792.035,805.59,3095105,805.59,-1
11/8/16,802.03,816.04,799.62,811.98,1759885,811.98,-1
11/7/16,794.95,805,792.9,802.03,1986464,802.03,1
11/4/16,771.3,788.48,771.0043,781.1,1967620,781.1,-1
11/3/16,784.5,790,778.63,782.19,2173340,782.19,0
11/2/16,806.76,806.76,785,788.42,2284886,788.42,-1
11/1/16,810.87,813.96,798.26,805.48,2354652,805.48,1
10/31/16,822.43,822.63,808,809.9,2238967,809.9,-1
10/28/16,829.94,839,817,819.56,4352704,819.56,1
10/27/16,823.01,826.58,814.61,817.35,2939601,817.35,-1
10/26/16,827.12,827.71,816.35,822.1,1791756,822.1,1
10/25/16,838.5,838.5,825.3005,828.55,1887068,828.55,1
10/24/16,830.09,837.94,829.04,835.74,1444851,835.74,1
10/21/16,820,824.29,818.31,824.06,1612418,824.06,-1
10/20/16,827.56,828.465,820.55,821.63,1385811,821.63,1
10/19/16,824.52,829.81,823.205,827.09,1497429,827.09,1
10/18/16,814.21,828.81,813.33,821.49,2287485,821.49,1
10/17/16,805.99,813.49,803.83,806.84,1055806,806.84,1
10/14/16,807.45,810.09,802.32,804.6,1106895,804.6,1
10/13/16,806.07,806.56,798.62,804.08,1368311,804.08,-1
10/12/16,811.96,814.5,808.5545,811.77,905703,811.77,-1
10/11/16,814.17,819.86,807.37,809.57,1719835,809.57,1
10/10/16,803.93,817.38,802.24,814.17,1489003,814.17,0
10/7/16,805.93,805.94,796.82,800.71,1163810,800.71,-1
10/6/16,804.08,806.945,800.51,803.08,1098158,803.08,-1
10/5/16,806,808.5,800.71,801.23,1209183,801.23,1
10/4/16,805,806.5,799.67,802.79,1257681,802.79,1
10/3/16,802.55,803.54,796.23,800.38,1487130,800.38,1
9/30/16,803.6,808.09,801.5,804.06,1628896,804.06,-1
9/29/16,807.23,813.91,800.855,802.64,1348241,802.64,1
9/28/16,804.08,810.25,802.7803,810.06,1469220,810.06,-1
9/27/16,801.83,813.49,801.83,810.73,1362135,810.73,1
9/26/16,809.82,810.08,800.45,802.65,1431779,802.65,-1
9/23/16,815.14,817,812.73,814.96,1411216,814.96,-1
9/22/16,810,819.06,807.71,815.95,1757641,815.95,0
9/21/16,801.26,805.91,796.03,805.03,1346610,805.03,1
9/20/16,800,802.75,798.26,799.78,1049912,799.78,-1
9/19/16,801.11,803.99,793.56,795.39,1146770,795.39,0
9/16/16,799.02,799.02,793.62,797.97,2129528,797.97,1
9/15/16,790.01,803.645,788.66,801.23,1563899,801.23,-1
9/14/16,787.53,796.33,787.53,790.46,1313008,790.46,-1
9/13/16,794.01,795.79,784.33,788.72,1808015,788.72,1
9/12/16,784.52,800.17,783.5,798.82,1861467,798.82,-1
9/9/16,798.77,801.75,788.05,788.48,1882483,788.48,1
9/8/16,805.22,808.42,801.0101,802.84,1176431,802.84,-1
9/7/16,807.93,810.6,803.72,807.99,1145552,807.99,-1
9/6/16,798.39,810.89,795.43,808.02,1989232,808.02,1
9/2/16,795.27,797.1,793.26,796.87,1349109,796.87,-1
9/1/16,791.98,792.89,786.33,791.4,1303118,791.4,1
8/31/16,789.6,791.57,787.2,789.85,1070140,789.85,1
8/30/16,792.88,798,789.47,791.92,1190034,791.92,-1
8/29/16,793.05,798.52,790.32,795.82,772876,795.82,1
8/26/16,792.49,799.4,789.4069,793.22,1248466,793.22,-1
8/25/16,792,794.72,787.23,791.3,1201902,791.3,-1
8/24/16,796.86,798.46,790.76,793.6,1283824,793.6,1
8/23/16,800.48,801,795.99,796.59,916133,796.59,-1
8/22/16,798.51,799.3,794.33,796.95,852892,796.95,1
8/19/16,799.79,801.23,796.88,799.65,1120336,799.65,1
8/18/16,805.36,808,801.63,802.75,864660,802.75,-1
8/17/16,800,805.63,796.3,805.42,1064729,805.42,1
8/16/16,803.5,804.26,797,801.19,1056936,801.19,-1
8/15/16,807.21,811.36,804.03,805.96,929916,805.96,-1
8/12/16,805.09,807.19,803.64,807.05,896802,807.05,1
8/11/16,810.47,813.879,806,808.2,1281610,808.2,0
8/10/16,807.05,810.879,806.49,808.49,916595,808.49,-1
8/9/16,804.49,813.33,804.06,807.48,1607256,807.48,1
8/8/16,806,807.6,801.69,805.23,1221422,805.23,1
8/5/16,800.11,807.22,797.81,806.93,1805900,806.93,-1
8/4/16,798.24,800.2,793.92,797.25,1075295,797.25,1
8/3/16,796.47,799.54,793.02,798.92,1460553,798.92,-1
8/2/16,797.33,802.32,794.53,800.12,1995240,800.12,-1
8/1/16,786.67,807.49,785.04,800.94,3024763,800.94,1
7/29/16,797.71,803.94,790,791.34,5066995,791.34,1
7/28/16,768.84,768.97,759.09,765.84,3590254,765.84,-1
7/27/16,758.97,764.45,755.93,761.97,1595341,761.97,1
7/26/16,757.52,759.26,752.7503,757.65,1186574,757.65,-1
7/25/16,757.68,759.8249,754.07,757.52,1073258,757.52,-1
7/22/16,757.32,759.45,752.655,759.28,1045450,759.28,-1
7/21/16,757,758.15,751.52,754.41,953043,754.41,1
7/20/16,754.05,760.64,754.05,757.08,1124699,757.08,-1
7/19/16,749.87,756.59,748.489,753.41,1521192,753.41,1
7/18/16,737.91,755.1369,736.51,753.2,1927867,753.2,0
