Date,japan stock index
12/9/16,1
12/8/16,1
12/7/16,1
12/6/16,1
12/5/16,-1
12/2/16,-1
12/1/16,1
11/30/16,1
11/29/16,-1
11/28/16,-1
11/25/16,1
11/23/16,0
11/22/16,1
11/21/16,1
11/18/16,1
11/17/16,1
11/16/16,1
11/15/16,-1
11/14/16,1
11/11/16,1
11/10/16,1
11/9/16,-1
11/8/16,-1
11/7/16,1
11/4/16,-1
11/3/16,0
11/2/16,-1
11/1/16,1
10/31/16,-1
10/28/16,1
10/27/16,-1
10/26/16,1
10/25/16,1
10/24/16,1
10/21/16,-1
10/20/16,1
10/19/16,1
10/18/16,1
10/17/16,1
10/14/16,1
10/13/16,-1
10/12/16,-1
10/11/16,1
10/10/16,0
10/7/16,-1
10/6/16,-1
10/5/16,1
10/4/16,1
10/3/16,1
9/30/16,-1
9/29/16,1
9/28/16,-1
9/27/16,1
9/26/16,-1
9/23/16,-1
9/22/16,0
9/21/16,1
9/20/16,-1
9/19/16,0
9/16/16,1
9/15/16,-1
9/14/16,-1
9/13/16,1
9/12/16,-1
9/9/16,1
9/8/16,-1
9/7/16,-1
9/6/16,1
9/2/16,-1
9/1/16,1
8/31/16,1
8/30/16,-1
8/29/16,1
8/26/16,-1
8/25/16,-1
8/24/16,1
8/23/16,-1
8/22/16,1
8/19/16,1
8/18/16,-1
8/17/16,1
8/16/16,-1
8/15/16,-1
8/12/16,1
8/11/16,0
8/10/16,-1
8/9/16,1
8/8/16,1
8/5/16,-1
8/4/16,1
8/3/16,-1
8/2/16,-1
8/1/16,1
7/29/16,1
7/28/16,-1
7/27/16,1
7/26/16,-1
7/25/16,-1
7/22/16,-1
7/21/16,1
7/20/16,-1
7/19/16,1
7/18/16,0
7/15/16,1
7/14/16,1
7/13/16,1
7/12/16,1
7/11/16,1
7/8/16,-1
7/7/16,-1
7/6/16,-1
7/5/16,-1
7/1/16,1
6/30/16,1
6/29/16,1
6/28/16,1
6/27/16,1
6/24/16,-1
6/23/16,1
6/22/16,-1
6/21/16,1
6/20/16,1
6/17/16,1
6/16/16,-1
6/15/16,1
6/14/16,-1
6/13/16,-1
6/10/16,-1
6/9/16,-1
6/8/16,1
6/7/16,1
6/6/16,-1
6/3/16,1
6/2/16,-1
6/1/16,-1
5/31/16,1
5/27/16,1
5/26/16,1
5/25/16,1
5/24/16,-1
5/23/16,-1
5/20/16,1
5/19/16,1
5/18/16,-1
5/17/16,1
5/16/16,1
5/13/16,-1
5/12/16,1
5/11/16,1
5/10/16,1
5/9/16,1
5/6/16,1
5/5/16,-1
5/4/16,0
5/3/16,0
5/2/16,-1
4/29/16,0
4/28/16,-1
4/27/16,-1
4/26/16,-1
4/25/16,-1
4/22/16,1
4/21/16,1
4/20/16,1
4/19/16,1
4/18/16,-1
4/15/16,-1
4/14/16,1
4/13/16,1
4/12/16,1
4/11/16,-1
4/8/16,1
4/7/16,1
4/6/16,-1
4/5/16,-1
4/4/16,-1
4/1/16,-1
3/31/16,-1
3/30/16,-1
3/29/16,-1
3/28/16,1
3/24/16,-1
3/23/16,-1
3/22/16,1
3/21/16,0
3/18/16,-1
3/17/16,-1
3/16/16,-1
3/15/16,-1
3/14/16,1
3/11/16,1
3/10/16,1
3/9/16,-1
3/8/16,-1
3/7/16,-1
3/4/16,1
3/3/16,1
3/2/16,1
3/1/16,1
2/29/16,-1
2/26/16,1
2/25/16,1
2/24/16,-1
2/23/16,-1
2/22/16,1
2/19/16,-1
2/18/16,1
2/17/16,-1
2/16/16,1
2/12/16,-1
2/11/16,0
2/10/16,-1
2/9/16,-1
2/8/16,1
2/5/16,-1
2/4/16,-1
2/3/16,-1
2/2/16,-1
2/1/16,1
1/29/16,1
1/28/16,-1
1/27/16,1
1/26/16,-1
1/25/16,1
1/22/16,1
1/21/16,-1
1/20/16,-1
1/19/16,-1
1/15/16,-1
1/14/16,-1
1/13/16,1
1/12/16,-1
1/11/16,0
1/8/16,-1
1/7/16,-1
1/6/16,-1
1/5/16,-1
1/4/16,-1
12/31/15,0
12/30/15,1
12/29/15,1
12/28/15,1
12/24/15,-1
12/23/15,0
12/22/15,-1
12/21/15,-1
12/18/15,-1
12/17/15,1
12/16/15,1
12/15/15,-1
12/14/15,-1
12/11/15,1
12/10/15,-1
12/9/15,-1
12/8/15,-1
12/7/15,1
12/4/15,-1
12/3/15,1
12/2/15,-1
12/1/15,1
11/30/15,-1
11/27/15,1
11/25/15,-1
11/24/15,1
11/23/15,0
11/20/15,1
11/19/15,1
11/18/15,1
11/17/15,1
11/16/15,-1
11/13/15,-1
11/12/15,1
11/11/15,1
11/10/15,1
11/9/15,1
11/6/15,1
11/5/15,1
11/4/15,1
11/3/15,0
11/2/15,-1
10/30/15,1
10/29/15,1
10/28/15,1
10/27/15,-1
10/26/15,1
10/23/15,1
10/22/15,-1
10/21/15,1
10/20/15,1
10/19/15,-1
10/16/15,1
10/15/15,1
10/14/15,-1
10/13/15,-1
10/12/15,0
10/9/15,1
10/8/15,-1
10/7/15,1
10/6/15,1
10/5/15,1
10/2/15,1
10/1/15,1
9/30/15,1
9/29/15,-1
9/28/15,-1
9/25/15,1
9/24/15,1
9/23/15,-1
9/22/15,0
9/21/15,0
9/18/15,-1
9/17/15,1
9/16/15,1
9/15/15,1
9/14/15,-1
9/11/15,-1
9/10/15,-1
9/9/15,1
9/8/15,-1
9/4/15,-1
9/3/15,1
9/2/15,-1
9/1/15,-1
8/31/15,-1
8/28/15,1
8/27/15,1
8/26/15,1
8/25/15,-1
8/24/15,-1
8/21/15,-1
8/20/15,-1
8/19/15,-1
8/18/15,-1
8/17/15,1
8/14/15,-1
8/13/15,1
8/12/15,-1
8/11/15,-1
8/10/15,1
8/7/15,1
8/6/15,1
8/5/15,1
8/4/15,-1
8/3/15,-1
7/31/15,1
7/30/15,1
7/29/15,-1
7/28/15,-1
7/27/15,-1
7/24/15,-1
7/23/15,1
7/22/15,-1
7/21/15,1
7/20/15,0
7/17/15,1
7/16/15,1
7/15/15,1
7/14/15,1
7/13/15,1
7/10/15,-1
7/9/15,1
7/8/15,-1
7/7/15,1
7/6/15,-1
7/2/15,1
7/1/15,1
6/30/15,1
6/29/15,-1
6/26/15,-1
6/25/15,-1
6/24/15,1
6/23/15,1
6/22/15,1
6/19/15,1
6/18/15,-1
6/17/15,-1
6/16/15,-1
6/15/15,-1
6/12/15,1
6/11/15,1
6/10/15,-1
6/9/15,-1
6/8/15,-1
6/5/15,-1
6/4/15,1
6/3/15,-1
6/2/15,-1
6/1/15,1
5/29/15,1
5/28/15,1
5/27/15,1
5/26/15,1
5/22/15,1
5/21/15,1
5/20/15,1
5/19/15,1
5/18/15,1
5/15/15,1
5/14/15,-1
5/13/15,1
5/12/15,1
5/11/15,1
5/8/15,1
5/7/15,-1
5/6/15,0
5/5/15,0
5/4/15,0
5/1/15,1
4/30/15,-1
4/29/15,0
4/28/15,1
4/27/15,-1
4/24/15,-1
4/23/15,1
4/22/15,1
4/21/15,1
4/20/15,-1
4/17/15,-1
4/16/15,1
4/15/15,-1
4/14/15,1
4/13/15,-1
4/10/15,-1
4/9/15,1
4/8/15,1
4/7/15,1
4/6/15,1
4/2/15,1
4/1/15,-1
3/31/15,-1
3/30/15,1
3/27/15,-1
3/26/15,-1
3/25/15,1
3/24/15,1
3/23/15,0
3/20/15,1
3/19/15,-1
3/18/15,1
