date,open,high,low,close,volume,Adjclose,jpn
12/9/16,61.18,61.99,61.125,61.97,27337160,61.97,1
12/8/16,61.3,61.58,60.84,61.01,21201400,61.01,1
12/7/16,60.01,61.38,59.8,61.37,30807320,61.37,1
12/6/16,60.43,60.46,59.8,59.95,19966340,59.95,1
12/5/16,59.7,60.585,59.56,60.22,23552030,60.22,-1
12/2/16,59.08,59.47,58.8,59.25,25464230,59.25,-1
12/1/16,60.11,60.15,58.935,59.2,34518030,59.2,1
11/30/16,60.86,61.18,60.215,60.26,34641520,60.26,1
11/29/16,60.65,61.41,60.52,61.09,22365860,61.09,-1
11/28/16,60.34,61.02,60.21,60.61,20604370,60.61,-1
11/25/16,60.3,60.53,60.13,60.53,8409616,60.53,1
11/23/16,61.01,61.1,60.25,60.4,21847500,60.4,0
11/22/16,60.98,61.26,60.805,61.12,23205870,61.12,1
11/21/16,60.5,60.97,60.42,60.86,19638240,60.86,1
11/18/16,60.78,61.14,60.3,60.35,27210170,60.35,1
11/17/16,60.41,60.95,59.965,60.64,32084890,60.64,1
11/16/16,58.94,59.66,58.81,59.65,27329530,59.65,1
11/15/16,58.33,59.49,58.315,58.87,35850360,58.87,-1
11/14/16,59.02,59.08,57.28,58.12,41248640,58.12,1
11/11/16,58.23,59.116,58.01,59.02,35932400,59.02,1
11/10/16,60.48,60.49,57.6302,58.7,57770560,58.7,1
11/9/16,60,60.59,59.2,60.17,49588490,60.17,-1
11/8/16,60.55,60.78,60.15,60.47,22923800,60.47,-1
11/7/16,59.78,60.52,59.78,60.42,31652340,60.42,1
11/4/16,58.65,59.28,58.52,58.71,28693430,58.71,-1
11/3/16,59.53,59.64,59.11,59.21,21448620,59.21,0
11/2/16,59.82,59.93,59.3,59.43,22118490,59.43,-1
11/1/16,59.97,60.02,59.25,59.8,24474870,59.8,1
10/31/16,60.16,60.42,59.92,59.92,26418340,59.92,-1
10/28/16,60.01,60.52,59.58,59.87,33569190,59.87,1
10/27/16,60.61,60.83,60.09,60.1,28444550,60.1,-1
10/26/16,60.81,61.2,60.47,60.63,29908240,60.63,1
10/25/16,60.85,61.3699,60.8,60.99,35119480,60.99,1
10/24/16,59.94,61,59.93,61,54039610,61,1
10/21/16,60.28,60.45,59.485,59.66,80008400,59.66,-1
10/20/16,57.5,57.52,56.66,57.25,48880910,57.25,1
10/19/16,57.47,57.84,57.395,57.53,22840410,57.53,1
10/18/16,57.53,57.945,57.41,57.66,18862790,57.66,1
10/17/16,57.36,57.46,56.87,57.22,23829490,57.22,1
10/14/16,57.12,57.74,57.12,57.42,27221480,57.42,1
10/13/16,56.7,57.3,56.315,56.92,25217590,56.92,-1
10/12/16,57.11,57.27,56.4,57.11,22157100,57.11,-1
10/11/16,57.89,58.02,56.89,57.19,26483780,57.19,1
10/10/16,57.91,58.39,57.87,58.04,18085830,58.04,0
10/7/16,57.85,57.98,57.42,57.8,20062440,57.8,-1
10/6/16,57.74,57.86,57.28,57.74,16194470,57.74,-1
10/5/16,57.29,57.9601,57.26,57.64,16708620,57.64,1
10/4/16,57.27,57.595,56.97,57.24,20061950,57.24,1
10/3/16,57.405,57.55,57.06,57.42,19156410,57.42,1
9/30/16,57.57,57.77,57.34,57.6,29877820,57.6,-1
9/29/16,57.81,58.1679,57.21,57.4,25389600,57.4,1
